X,Y,id,_URI,_CREATION_DATE,SITE_DETAILS_LOCATION_ACC,lifeform,cover,height,leaftype,phenology,spatialaspectsize,spatialaspectdistri,cropcombination,cultpractwatersupply,cultpractculttimefactor,stratification2nd,cover2nd,height2nd,waterseasonality,cultpraticefallowperiode,surfaceaspect,sands,soils,physicalstatus,persistence,waterdepth,sedimentload,l2classif,l3classif,l3classifcode,l4_classif_primo,persitence_text,depthandsediment_text,surfaceaspect_text,macropatternmodifier_text,cover_text,height_text,leaf,spatialaspect,culturalpractice,waterseasonality_text,fallowperiod,l4classif,change,changetime,status,cultpracticefallowperiode,l3calssifcode,date,image,imageUp,imageDown,waterContent,comments,images,cropCombination2,artificialAspect,duneType,water_status,waterMovement
145.4051931,-16.27806644,"2",BGriver,2019/05/24 22:55:43,5,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4054361,-16.2784055,"3",BGSite1,2019/05/25 00:23:59,10,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4054004,-16.27823228,"4",BGSite2,2019/05/25 01:00:26,13,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4172938,-16.31008762,"5",SouthArmUpriverSite3,2019/05/25 04:10:06,11,A24.A3,A24.A12,A24.B2.B6,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,7 to 14m ,,,,Waterlogged ,,Closed (> 70%) 7 to 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4171503,-16.31009404,"6",UpriverSite1,2019/05/25 04:34:52,7,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.417172,-16.31014177,"7",UpriverSite2,2019/05/25 04:43:53,7,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.412629,-16.28023162,"8",Rhizophorasite1,2019/05/25 23:56:38,43,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4127206,-16.28016771,"9",Rhizophorasite2,2019/05/26 00:21:45,11,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4173164,-16.29494209,"10",Upriversite1bis,2019/05/26 00:41:15,13,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4172796,-16.2948917,"11",SouthArmsite2,2019/05/26 04:15:06,12,A24.A3,A24.A12,A24.B2.B5,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,> 14m ,,,,Waterlogged ,,Closed (> 70%) > 14m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4218266,-16.3145741,"12",Backswampwell#2,2019/05/27 00:04:28,3,A24.A3,A24.A12,A24.B2.B7,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,< 7m ,,,,Waterlogged ,,Closed (> 70%) < 7m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4215259,-16.31451815,"13",Backswampwell#3,2019/05/27 00:16:59,7,A24.A3,A24.A12,A24.B2.B7,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,< 7m ,,,,Waterlogged ,,Closed (> 70%) < 7m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4212316,-16.31451701,"14",Backswampwell#4,2019/05/27 00:29:40,3,A24.A3,A24.A12,A24.B2.B7,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,< 7m ,,,,Waterlogged ,,Closed (> 70%) < 7m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
145.4209217,-16.3144807,"15",Backswampwell#5,2019/05/27 00:46:49,3,A24.A3,A24.A12,A24.B2.B7,,,,,,,,,,,A24.C3,,,,,,,,,Primarily vegetated,Natural and semi natural aquatic vegetation,NAV,Trees,,,,,Closed (> 70%) ,< 7m ,,,,Waterlogged ,,Closed (> 70%) < 7m Waterlogged Trees,,,ok_oldEarthtrack,,,,,,,,,,,,,,
