ID,X,Y,No,l3classifcode
1,145.4180255920527,-16.30813873,124,NAV
2,145.4349975169888,-16.30495302,124,NAV
3,145.43011260870384,-16.30825895,124,NAV
4,145.4423875064453,-16.29972353,124,NAV
5,145.43355709531602,-16.30976162,124,NAV
6,145.43336921422792,-16.3170344,124,NAV
7,145.43005,-16.32021992,124,NAV
8,145.42835905188485,-16.32316497,124,NAV
9,145.4567228576188,-16.28202653,124,NAV
10,145.46006803208996,-16.27699101,124,NAV
11,145.44372229319674,-16.2820995,124,NAV
12,145.42988543515781,-16.27852358,124,NAV
13,145.4184814312784,-16.27925336,124,NAV
14,145.41072670864014,-16.28173462,124,NAV
15,145.45368178991362,-16.26327041,111,CTV
16,145.44919621505574,-16.26100788,111,CTV
17,145.43946479841253,-16.2618837,111,CTV
18,145.3961295836724,-16.29034579,111,CTV
19,145.39384878289604,-16.27217432,111,CTV
20,145.39681382390484,-16.27013083,111,CTV
21,145.37590648346014,-16.27202835,111,CTV
22,145.3925563291234,-16.29954035,111,CTV
23,145.38981936819255,-16.27976421,111,CTV
24,145.3824447790165,-16.27998315,111,CTV
25,145.41407188310842,-16.25385519,111,CTV
26,145.3825208057101,-16.25794247,111,CTV
27,145.3646745244278,-16.26065183,215,AS
28,145.36377307687542,-16.25924433,215,AS
29,145.31738977081466,-16.24911187,215,AS
30,145.3185491183836,-16.24993951,215,AS
31,145.32129389852315,-16.24984438,215,AS
32,145.32102635677666,-16.25047225,215,AS
33,145.32410804133798,-16.25030101,215,AS
34,145.3199462808373,-16.25207044,215,AS
35,145.31842030198607,-16.2502915,215,AS
36,145.31770685732909,-16.24970169,215,AS
37,145.32309732807397,-16.24817958,215,AS
38,145.32031291211956,-16.24895015,215,AS
39,145.3200156435126,-16.24951142,215,AS
40,145.31933486792718,-16.24780871,216,BS
41,145.31627695066095,-16.25331845,216,BS
42,145.31339294338176,-16.25208016,216,BS
43,145.31250890095117,-16.25285931,216,BS
44,145.32021002968412,-16.2437729,216,BS
45,145.31780709222892,-16.24194874,216,BS
46,145.34554606211105,-16.25437641,216,BS
47,145.37141873376845,-16.26133363,216,BS
48,145.4557159322676,-16.28974138,216,BS
49,145.45712268148372,-16.29041652,216,BS
50,145.4640836646746,-16.28613285,216,BS
51,145.43849851235979,-16.30989019,216,BS
52,145.44004607602898,-16.30812887,216,BS
53,145.43670443412452,-16.31253214,216,BS
54,145.43243505202645,-16.31932393,216,BS
55,145.35259369739202,-16.27610823,112,NTV
56,145.3624240086711,-16.29332878,112,NTV
57,145.35013611957226,-16.29804648,112,NTV
58,145.3597206730705,-16.31314234,112,NTV
59,145.37864402228172,-16.31620855,112,NTV
60,145.36930522656655,-16.32847289,112,NTV
61,145.34743278397167,-16.33106717,112,NTV
62,145.4624474259371,-16.24355017,112,NTV
63,145.44598165454568,-16.23599971,112,NTV
64,145.41845678296426,-16.23930307,112,NTV
65,145.40494010495433,-16.23623567,112,NTV
66,145.3435007,-16.28059043,112,NTV
67,145.35750885303162,-16.21995401,112,NTV
68,145.38577099796015,-16.22514541,112,NTV
69,145.3361279260007,-16.22538138,112,NTV
70,145.30919898616264,-16.23714275,220,W
71,145.3270264563876,-16.24853387,220,W
72,145.3390128442179,-16.25490092,220,W
73,145.34765277859384,-16.25273965,220,W
74,145.35337217177238,-16.24421116,220,W
75,145.3592133,-16.24578837,220,W
76,145.36164703849806,-16.25127932,220,W
77,145.38506900922243,-16.26229939,220,W
78,145.39754303007476,-16.25939117,220,W
79,145.40476014213795,-16.27179357,220,W
80,145.4305100170344,-16.28120187,220,W
81,145.44806274637398,-16.27803734,220,W
82,145.45002294965127,-16.29274767,220,W
83,145.44405323967237,-16.30737138,220,W
84,145.45189405277853,-16.29856308,220,W
